product_name,product_url,product_price,product_shipping,product_sold,product_type,product_top_seller,product_seller,product_seller_url,product_seller_rating,product_seller_rating_url,product_seller_feedback,product_reviews,product_reviews_url
New Other Samsung Galaxy S10e G970U GSM Unlocked T-Mobile AT&T Verizon Boost,https://www.ebay.ca/itm/324160064498?epid=11030871980&hash=item4b79720bf2:g:-l8AAOSwt-heMeJS,C $287.25 to C $299.74,+C $20.71 shipping estimate,48+ sold,New (Other),Top Rated Seller,mobileitems,https://www.ebay.ca/usr/mobileitems?_trksid=p2047675.l2559,17578,https://www.ebay.ca/fdbk/feedback_profile/mobileitems?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,98.8% Positive feedback,17 product ratings,https://www.ebay.ca/p/11030871980?iid=324160064498&var=513215460124&rt=nc#UserReviews
UNLOCKED Samsung Galaxy S9 G960W 64GB Smartphone Canadian Version,https://www.ebay.ca/itm/224441212945?epid=243309649&hash=item3441bd2011:g:1pYAAOSwp-lgdyQu,C $279.99,Free shipping,19+ sold,Open Box,Top Rated Seller,toronto.cellular,https://www.ebay.ca/usr/toronto.cellular?_trksid=p2047675.l2559,17828,https://www.ebay.ca/fdbk/feedback_profile/toronto.cellular?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,100% Positive feedback,213 product ratings,https://www.ebay.ca/p/243309649?iid=224441212945&var=523225936187#UserReviews
New ListingOnePlus 3T - 64GB - Gunmetal (Unlocked) Smartphone,https://www.ebay.ca/itm/224558675133?epid=232081710&hash=item3448bd74bd:g:m6cAAOSwflphCbAU,C $49.95,,,Pre-Owned,,themintstuff,https://www.ebay.ca/usr/themintstuff?_trksid=p2047675.l2559,1794,https://www.ebay.ca/fdbk/feedback_profile/themintstuff?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,100% Positive feedback,49 product ratings,https://www.ebay.ca/p/232081710?iid=224558675133&rt=nc#UserReviews
Apple iPhone 7 Smartphone 32/128/256GB AT&T Sprint T-Mobile Verizon or Unlocked,https://www.ebay.ca/itm/154068021610?epid=28033726301&hash=item23df2b716a:g:4NMAAOSwvNFfTUJl,C $111.16 to C $154.87,+C $17.70 shipping estimate,128+ sold,Refurbished,Top Rated Seller,thephonestoreco,https://www.ebay.ca/usr/thephonestoreco?_trksid=p2047675.l2559,1565,https://www.ebay.ca/fdbk/feedback_profile/thephonestoreco?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,98.2% Positive feedback,4 product ratings,https://www.ebay.ca/p/28033726301?iid=154068021610&var=454196675376&rt=nc#UserReviews
Apple iPhone 7 - A1778 - All colors - Unlocked - Smartphone,https://www.ebay.ca/itm/203198423838?epid=240455139&hash=item2f4f91e31e:g:-TAAAOSwjMtcFA8D,C $139.00 to C $149.00,+C $15.00 shipping,6+ watchers,Pre-Owned,,bravad9114,https://www.ebay.ca/usr/bravad9114?_trksid=p2047675.l2559,1769,https://www.ebay.ca/fdbk/feedback_profile/bravad9114?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,97.9% Positive feedback,302 product ratings,https://www.ebay.ca/p/240455139?iid=203198423838&var=503651097738#UserReviews
NEW Samsung Galaxy Note 10+ Plus N975U N975U1 AT&T Sprint Verizon 5G Unlocked,https://www.ebay.ca/itm/254430512912?epid=6034196973&hash=item3b3d3d8710:g:uukAAOSwVQhgHb3i,C $423.39 to C $623.23,+C $24.49 shipping estimate,57+ sold,New (Other),Top Rated Seller,bobcat_wireless,https://www.ebay.ca/usr/bobcat_wireless?_trksid=p2047675.l2559,22195,https://www.ebay.ca/fdbk/feedback_profile/bobcat_wireless?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,100% Positive feedback,24 product ratings,https://www.ebay.ca/p/6034196973?iid=254430512912&var=554510021543&rt=nc#UserReviews
Samsung Galaxy S9 | S9+ Plus 64GB 128GB 256GB - Unlocked Verizon T-Mobile AT&T,https://www.ebay.ca/itm/274867619266?epid=17024791333&hash=item3fff6305c2:g:Q6UAAOSwFz1g7OBb,C $156.06 to C $280.95,+C $18.81 shipping estimate,13+ watchers,New (Other),Top Rated Seller,tech-hobbies,https://www.ebay.ca/usr/tech-hobbies?_trksid=p2047675.l2559,2002,https://www.ebay.ca/fdbk/feedback_profile/tech-hobbies?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,99.8% Positive feedback,61 product ratings,https://www.ebay.ca/p/17024791333?iid=274867619266&var=575126213840&rt=nc#UserReviews
New ListingApple iPhone 7 Plus - 128GB - Black (Verizon) A1661 (CDMA + GSM) Mint Condition,https://www.ebay.ca/itm/133837662966?epid=225209519&hash=item1f2958aaf6:g:Ie4AAOSwaWlhCVfy,C $124.89,,,Pre-Owned,,zx112quik,https://www.ebay.ca/usr/zx112quik?_trksid=p2047675.l2559,1055,https://www.ebay.ca/fdbk/feedback_profile/zx112quik?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,100% Positive feedback,113 product ratings,https://www.ebay.ca/p/225209519?iid=133837662966&rt=nc#UserReviews
"Apple iPhone 7 - 32GB 128GB 256GB GSM ""Factory Unlocked"" Smartphone All Colors*",https://www.ebay.ca/itm/362174598107?epid=225203030&hash=item545349cbdb:g:IBYAAOSwuIFfmZ~o,C $131.08 to C $162.30,+C $24.97 shipping,376+ sold,Refurbished,Top Rated Seller,best_deal_today,https://www.ebay.ca/usr/best_deal_today?_trksid=p2047675.l2559,260671,https://www.ebay.ca/fdbk/feedback_profile/best_deal_today?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,99.2% Positive feedback,13 product ratings,https://www.ebay.ca/p/225203030?iid=362174598107&var=631424139727&rt=nc#UserReviews
Apple iPhone 6S 16GB 32GB 64GB 128GB Unlocked/ Verizon/ AT&T/ T-Mobile/ Sprint,https://www.ebay.ca/itm/293175567896?epid=9033147853&hash=item4442a02618:g:ktIAAOSwDZ1bKBjp,C $89.91 to C $171.09,+C $16.66 shipping estimate,103+ sold,Pre-Owned,Top Rated Seller,itsworthmore,https://www.ebay.ca/usr/itsworthmore?_trksid=p2047675.l2559,47093,https://www.ebay.ca/fdbk/feedback_profile/itsworthmore?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,99.2% Positive feedback,34 product ratings,https://www.ebay.ca/p/9033147853?iid=293175567896&var=592359939821&rt=nc#UserReviews
Apple iPhone 7 GSM Unlocked Smartphone 32GB 128GB 256GB,https://www.ebay.ca/itm/273021149789?epid=232669172&hash=item3f9154225d:g:u1UAAOSwnY1d3q~R,C $147.99 to C $192.99,Free shipping,584+ sold,Refurbished,Top Rated Seller,wireless.canada,https://www.ebay.ca/usr/wireless.canada?_trksid=p2047675.l2559,22179,https://www.ebay.ca/fdbk/feedback_profile/wireless.canada?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,97.3% Positive feedback,465 product ratings,https://www.ebay.ca/p/232669172?iid=273021149789&var=572256461243#UserReviews
Apple iPhone 8 - 64GB - A1905 - Space Gray - GSM UNLOCKED - (item#306),https://www.ebay.ca/itm/114916550164?epid=239099257&hash=item1ac18f6614:g:bFoAAOSwAKBhBCf1,C $165.00,+C $10.00 shipping,,Pre-Owned,Top Rated Seller,recycell2012,https://www.ebay.ca/usr/recycell2012?_trksid=p2047675.l2559,1453,https://www.ebay.ca/fdbk/feedback_profile/recycell2012?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,100% Positive feedback,187 product ratings,https://www.ebay.ca/p/239099257?iid=114916550164#UserReviews
Samsung Galaxy S9+ PLUS G965U or S9 G960U Unlocked Verizon ATT Tmobile,https://www.ebay.ca/itm/333864905594?_trkparms=ispr%3D1&hash=item4dbbe62b7a:g:YkMAAOSwnLdgCasK&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSprd4IgPv6LBzlteBBg9Pe9uOQ7Qk0BPXOy2UZQuOQUM%252F%252Fp5wHK2uwybrLI0%252FZk2KDWU5KR2PE4c2HvB4dOidjiBzcoc18B9Mov22odohQ6uE41TC7T8i6X8t5IXZzsw2g8VrP0g18MhOfCc4qK%252Fz5eelOgkfiO%252F8rmLXlFVwrKQUQNc5O%252FIBP3Pv74rlUL8xQZAuRor9ngK3zMWbfGeVBfADhhywdDbcUAmMoSktrhXPiD8ELXRrOKP5vKQP%252B%252FT7rfP4M3Q9JWn4AzMTWjZDprzRlor1BB6QbZFUQkj30laVjIKU9v6cLTPBKZgs51DjSFqQI7wOy4GUSogueRmMcl9W2aGsRw4ItUXkluF3B6iMSEHNwC%252BnyR5GC%252Fxw%252FvuiDkH5dwrb3TZVJGnUIYZPjpWHIJxEhHRFXrV7uyuhYN9Rec1V6Xe%252ByBdAVAExV65n9duQYll%252BKGdKknYQJzdLk9S%252BjvJp0wtvOXNFMvxWSYaakF0bWU4wbR2hxyi8%252Fpy010OK1oEslUcgqfDJGwQAphGcxl0vW%252FsDi9t2HXM%252FTYdTEYui7POfRGF576x7fjzSi5WilHBd19sHaJPkvHogdfh2AsEj1SOPmIXyT0UQLqsx7XfZF3ToofrJp2l4mY5AdW9WCeDVf0Va801%252BinlhQdvjjDoLbKlnlae7Gs8TOB6TYwTHQ36ZKFl0JDU4PZFQkoxqbJTTZPhm0kSLhKLgJS4rStEhHzE2983yR6AfYJq85j9TenGNyU%252FFunvpSptc74vT6Q1S9ph6OI5R8iUS84b10K7DxrK8qA957eAiuimVCuqZ%252F0fAzpWdfYYYPEXd%7Campid%3APL_CLK%7Cclp%3A2334524,C $156.11 to C $249.78,+C $18.43 shipping estimate,334+ sold,New (Other),Top Rated Seller,bigmoosewireless,https://www.ebay.ca/usr/bigmoosewireless?_trksid=p2047675.l2559,9799,https://www.ebay.ca/fdbk/feedback_profile/bigmoosewireless?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,100% Positive feedback,,
Samsung Galaxy S8 | S8+ Plus 64GB Unlocked Verizon T-Mobile AT&T Metro Sprint,https://www.ebay.ca/itm/265223704053?_trkparms=ispr%3D1&hash=item3dc0908df5:g:vmcAAOSwajdg7eS~&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh7RX0z90YfmntvQeGE9klQNdpRsv3ObjPLOEQfTzOpORksUa3c8FT7e2PPinNo2PO6JoXUb31r4Zt4biGpPaqmO5MbeSO9ap1rMRiy1K%252FkUdyF6Oaj4mvvQoZeC8acfVLe4kN5djMG4oUHiPGcic6HMV3XfZfuCkXuocKu0bmNNOhkkgaok2VPUQVJZCoqJX2DJhkbfgW9vA0W4JeQQXtRBjAJRfnlVn%252BDmYynb9PDE1rMgvrRFddDuNulyEs8nzTXN5JF9AmYl5OO5Ley4Vg5z51QZQi8QzOaclkOwHQH6iFtvE95hL4fDIFELelCy56W1NYYj7hVjH1IL1CY4mGoJMtUKfAzpNmkRVJU7IdR7kBvu37DG24bVbssKhjjTUHFHkY%252FuaeddsogdcCdbmmwGujcBiIuQKcrbb7Kqo2N81vhT%252Fn9RqrzVzTds3gAGZkBzo1K14OLNoEpZ1DD6aoMhC%252BO8irqCf0IKAt8CYLGEn%252B3%252FJLi92a627su9dSwyADEJ9BIewRALlJ5QIvUj22S%252BJrgX1EMHWa4Bv09VGKyVxL7Y%252B6zqnej5o1nwCcIywBJ5Xr13sW0OrNQ35HL2TtVbVEcpK1g%252FISL%252Be57kDIOJxPtT7wbYbRY29BrnH6umLgaom%252BJ9fw3n%252BRZw2VuSzAX5Fh71VkR6GRcl1uXlWMHgoUe58eglP3amFKWlkOM%252F2yo22ml4e1N729WnVQt7n179LTk%252BY3K%252B9NgHz%252Fpu6wcE8tvQLmycWhvJfu%252BT%252FmjhQlMEc8IKfiPMGNX5va5AQU7w%253D%7Campid%3APL_CLK%7Cclp%3A2334524,C $149.81 to C $255.97,+C $19.40 shipping estimate,10+ watchers,New (Other),Top Rated Seller,uki-mobile,https://www.ebay.ca/usr/uki-mobile?_trksid=p2047675.l2559,784,https://www.ebay.ca/fdbk/feedback_profile/uki-mobile?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,99.3% Positive feedback,,
New ListingSamsung Galaxy A02s - 32GB - Black (Unlocked) (Dual SIM),https://www.ebay.ca/itm/255076380214?hash=item3b63bcae36:g:Q1IAAOSweIdhCUIr,C $74.94,,,Pre-Owned,,zacandrzach,https://www.ebay.ca/usr/zacandrzach?_trksid=p2047675.l2559,62,https://www.ebay.ca/fdbk/feedback_profile/zacandrzach?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,100% Positive feedback,,
"Samsung A71 (5G) 128GB 6.7"" Display Android A716U Unlocked Smartphone Black",https://www.ebay.ca/itm/264889408715?epid=16040289160&hash=item3daca39ccb:g:uXcAAOSw0M9fe0-E,C $289.99,Free shipping,,Refurbished,Top Rated Seller,gadgetag,https://www.ebay.ca/usr/gadgetag?_trksid=p2047675.l2559,4854,https://www.ebay.ca/fdbk/feedback_profile/gadgetag?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,99.4% Positive feedback,67 product ratings,https://www.ebay.ca/p/16040289160?iid=264889408715&var=565058894403#UserReviews
New ListingMotorola RAZR - 128GB - Black (Verizon) (Single SIM) 5g Unlocked,https://www.ebay.ca/itm/164998590291?epid=28036751796&hash=item266aaeaf53:g:iRIAAOSwuGBhCZ8j,C $337.22,,,Pre-Owned,,dantheman3232,https://www.ebay.ca/usr/dantheman3232?_trksid=p2047675.l2559,221,https://www.ebay.ca/fdbk/feedback_profile/dantheman3232?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,100% Positive feedback,11 product ratings,https://www.ebay.ca/p/28036751796?iid=164998590291&rt=nc#UserReviews
Apple iPhone 8 Plus 64GB / 256GB - Unlocked/ Verizon/ AT&T/ T-Mobile/ Sprint,https://www.ebay.ca/itm/293183035891?epid=23024045643&hash=item44431219f3:g:zEMAAOSwmFJbxNUT,C $282.25 to C $495.82,+C $21.68 shipping estimate,96+ sold,Pre-Owned,Top Rated Seller,itsworthmore,https://www.ebay.ca/usr/itsworthmore?_trksid=p2047675.l2559,47094,https://www.ebay.ca/fdbk/feedback_profile/itsworthmore?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,99.2% Positive feedback,69 product ratings,https://www.ebay.ca/p/23024045643?iid=293183035891&var=592359963364&rt=nc#UserReviews
"Motorola Moto G8 Power Lite XT2055-2 64GB 4GB DUAL SIM UNLOCKED 6.5"" SMARTPHONE",https://www.ebay.ca/itm/283982635031?epid=15040203880&hash=item421eaf2017:g:FSAAAOSwpWZfOvy3,C $201.99,Free shipping,163+ sold,Open Box,Top Rated Seller,phones.n.more,https://www.ebay.ca/usr/phones.n.more?_trksid=p2047675.l2559,5204,https://www.ebay.ca/fdbk/feedback_profile/phones.n.more?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,100% Positive feedback,2 product ratings,https://www.ebay.ca/p/15040203880?iid=283982635031&var=585438387986#UserReviews
New ListingApple iPhone 11 - 64GB - Yellow (Sprint) (tmobile) 4G LTE,https://www.ebay.ca/itm/154555417450?epid=12034199306&hash=item23fc38836a:g:GTAAAOSwVRFhCT7X,C $574.50,+C $51.61 shipping estimate,,Pre-Owned,Top Rated Seller,snapsnert,https://www.ebay.ca/usr/snapsnert?_trksid=p2047675.l2559,10419,https://www.ebay.ca/fdbk/feedback_profile/snapsnert?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,100% Positive feedback,,
Apple iPhone 7 Plus Smartphone 32/128GB AT&T Sprint T-Mobile Verizon or Unlocked,https://www.ebay.ca/itm/154115045129?epid=16034800483&hash=item23e1f8f709:g:7gsAAOSwS9Nfd2nl,C $236.05 to C $298.50,+C $19.97 shipping estimate,20+ watchers,Refurbished,Top Rated Seller,thephonestoreco,https://www.ebay.ca/usr/thephonestoreco?_trksid=p2047675.l2559,1565,https://www.ebay.ca/fdbk/feedback_profile/thephonestoreco?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,98.2% Positive feedback,1 product rating,https://www.ebay.ca/p/16034800483?iid=154115045129&var=454267878734&rt=nc#UserReviews
"NEW Samsung Galaxy A10S A107M/DS 6.2"" 32GB FACTORY UNLOCKED DUAL SIM SMARTPHONE",https://www.ebay.ca/itm/283645287314?epid=0&hash=item420a939b92:g:L~MAAOSwBqpdp0Q0,C $168.99,Free shipping,303+ sold,Brand New,Top Rated Seller,phones.n.more,https://www.ebay.ca/usr/phones.n.more?_trksid=p2047675.l2559,5204,https://www.ebay.ca/fdbk/feedback_profile/phones.n.more?filter=feedback_page:RECEIVED_AS_SELLER&_trksid=p2047675.l2560,100% Positive feedback,,
